year,month,file_date,case_number,case_title,file_contains,case_info_url,pdf_url,pdf_filename,download_status,scraped_at
2021,February,"Feb. 25, 2021",98326-7,State v. Waller,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=983267MAJ,https://www.courts.wa.gov/opinions/pdf/983267.pdf,98326-7_State v. Waller.pdf,Success,2025-12-05T11:36:20.925130
2021,March,"Mar. 04, 2021",98280-5,Meyers v. Ferndale Sch. Dist.,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=982805MAJ,https://www.courts.wa.gov/opinions/pdf/982805.pdf,98280-5_Meyers v. Ferndale Sch. Dist..pdf,Success,2025-12-05T11:36:29.281542
2021,March,"Mar. 04, 2021",96132-8,Woods v. Seattle's Union Gospel Mission,"Maj., Con., and Con/Dis Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=961328MAJ,https://www.courts.wa.gov/opinions/pdf/961328.pdf,96132-8_Woods v. Seattle's Union Gospel Mission.pdf,Success,2025-12-05T11:36:35.889361
2021,March,"Mar. 11, 2021",96772-5,In re Pers. Restraint of Monschke,"Maj., Con., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=967725MAJ,https://www.courts.wa.gov/opinions/pdf/967725.pdf,96772-5_In re Pers. Restraint of Monschke.pdf,Success,2025-12-05T11:36:41.909599
2021,March,"Mar. 18, 2021",98514-6,Fox v. City of Bellingham,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=985146MAJ,https://www.courts.wa.gov/opinions/pdf/985146.pdf,98514-6_Fox v. City of Bellingham.pdf,Success,2025-12-05T11:36:51.061371
2021,March,"Mar. 18, 2021",98154-0,Pimentel v. Judges of King Cty. Superior Court,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=981540MAJ,https://www.courts.wa.gov/opinions/pdf/981540.pdf,98154-0_Pimentel v. Judges of King Cty. Superior Court.pdf,Success,2025-12-05T11:36:56.568638
2021,March,"Mar. 18, 2021",98056-0,State v. Orn,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=980560MAJ,https://www.courts.wa.gov/opinions/pdf/980560.pdf,98056-0_State v. Orn.pdf,Success,2025-12-05T11:37:02.318782
2021,March,"Mar. 25, 2021",98495-6,Hester v. State,"Maj., and Con/Dis Opinions and an Order",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=984956MAJ,https://www.courts.wa.gov/opinions/pdf/984956.pdf,98495-6_Hester v. State.pdf,Success,2025-12-05T11:37:19.315383
2021,March,"Mar. 25, 2021",98256-2,State v. Coryell,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=982562MAJ,https://www.courts.wa.gov/opinions/pdf/982562.pdf,98256-2_State v. Coryell.pdf,Success,2025-12-05T11:37:25.774011
2021,April,"Apr. 01, 2021",99089-1,In re Recall of Sawant,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=990891MAJ,https://www.courts.wa.gov/opinions/pdf/990891.pdf,99089-1_In re Recall of Sawant.pdf,Success,2025-12-05T11:37:34.056638
